,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_F1-Score,split1_test_F1-Score,split2_test_F1-Score,split3_test_F1-Score,mean_test_F1-Score,std_test_F1-Score,rank_test_F1-Score,split0_test_MCC,split1_test_MCC,split2_test_MCC,split3_test_MCC,mean_test_MCC,std_test_MCC,rank_test_MCC,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV
77,0.0172540545463562,0.0016394499581233177,0.030506610870361328,0.0005003215728670351,sigmoid,1000.0,1.0,"{'kernel': 'sigmoid', 'gamma': 1000.0, 'C': 1.0}",0.5,0.5,0.5,0.5,0.5,0.0,86,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.000904159132007254,40,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,36,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,43
78,0.04100924730300903,3.5262583393452264e-07,0.13378006219863892,0.0010901791319598711,rbf,10000.0,1.0,"{'kernel': 'rbf', 'gamma': 10000.0, 'C': 1.0}",0.4979166666666667,0.4984076433121019,0.5,0.5,0.49908107749469216,0.0009351742239051595,107,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.000904159132007254,40,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,36,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,43
79,0.01925426721572876,0.0012991389693423829,0.03375750780105591,0.002586495333315481,sigmoid,10000.0,1.0,"{'kernel': 'sigmoid', 'gamma': 10000.0, 'C': 1.0}",0.5,0.5,0.5,0.5,0.5,0.0,86,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.000904159132007254,40,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,36,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,43
80,0.02075493335723877,0.0012993569382745572,0.08801966905593872,0.002122009551428481,rbf,1e-05,10.0,"{'kernel': 'rbf', 'gamma': 1e-05, 'C': 10.0}",0.8116347177848776,0.7985102470484768,0.8109025559105432,0.7976840870932496,0.8046829019592867,0.006597289532893868,52,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.000904159132007254,40,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,36,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,43
81,0.020254909992218018,0.0004337040181352702,0.036007821559906006,0.0012247534836771856,sigmoid,1e-05,10.0,"{'kernel': 'sigmoid', 'gamma': 1e-05, 'C': 10.0}",0.811874334398296,0.7984969218879087,0.8111288604898828,0.7978439890200677,0.8048360264490388,0.006674772900617214,43,0.566003616636528,0.5678119349005425,0.566003616636528,0.5678119349005425,0.5669077757685352,0.000904159132007254,40,0.7228637413394919,0.7243367935409457,0.7228637413394919,0.7243367935409457,0.7236002674402189,0.0007365261007268864,36,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,43
82,0.018754243850708008,0.0008293477405865168,0.08301866054534912,0.0015812504203456357,rbf,0.0001,10.0,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 10.0}",0.8146166134185303,0.7996961863390454,0.8131389776357828,0.8015084081763185,0.8072400463924193,0.006689032666421132,22,0.7504520795660036,0.7703435804701627,0.7757685352622061,0.7540687160940326,0.7626582278481012,0.010650288417169746,20,0.8,0.8167388167388167,0.8233618233618234,0.8,0.81002516002516,0.010294992016563916,18,0.4904673118869167,0.532957021473879,0.5497867507706622,0.49522818338624064,0.5171098168794246,0.025037695873405794,19,0.7897727272727273,0.8218390804597702,0.8536585365853658,0.7754010695187166,0.810167853459145,0.030217327381015204,7
83,0.022255003452301025,0.001639686206481134,0.04125910997390747,0.0012994601546731327,sigmoid,0.0001,10.0,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'C': 10.0}",0.8116347177848776,0.7985368973696133,0.810702875399361,0.7978839645017721,0.8046896137639061,0.006491659384670704,50,0.7396021699819169,0.72875226039783,0.7377938517179023,0.7233273056057866,0.7323688969258589,0.006644185559086386,28,0.8027397260273972,0.793956043956044,0.8084544253632762,0.7848101265822786,0.797490080482249,0.008958882213950121,26,0.4827314182423964,0.45378575386944997,0.5016322206599165,0.4346059491460494,0.46818883547945306,0.025812815325399037,26,0.8529411764705882,0.8201438848920863,0.9357798165137615,0.7756410256410257,0.8461264758793654,0.05858211194718226,2
84,0.018254339694976807,0.00147920492678071,0.06976538896560669,0.005762032553395495,rbf,0.001,10.0,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10.0}",0.8261182108626197,0.811195799909389,0.8210729499467518,0.8101431122245023,0.8171325182358157,0.0067150222436390015,2,0.7739602169981917,0.7811934900542495,0.7902350813743219,0.759493670886076,0.7762206148282098,0.011247608774525042,1,0.8125937031484258,0.8207407407407409,0.8294117647058824,0.7987897125567324,0.8153839802879455,0.011276402199674034,2,0.5369543914899317,0.552216786370005,0.5736014998381842,0.5056365973902157,0.5421023187720841,0.024752529435528067,1,0.7889447236180904,0.8072916666666666,0.8333333333333334,0.7572815533980582,0.7967128192540373,0.0276954062112552,15
85,0.015503466129302979,0.0005000233721258472,0.026255905628204346,0.0008294735082094669,sigmoid,0.001,10.0,"{'kernel': 'sigmoid', 'gamma': 0.001, 'C': 10.0}",0.8234424920127796,0.808530767795752,0.8201810436634719,0.8073714788263199,0.8148814455745808,0.007037541559935372,9,0.7613019891500904,0.7811934900542495,0.786618444846293,0.7613019891500904,0.7726039783001808,0.011463582579661824,9,0.8041543026706233,0.8223201174743027,0.8269794721407625,0.8006042296072508,0.8135145304732349,0.011326216816641707,6,0.5109649761796642,0.5533040392663324,0.5663799946176254,0.5094059605186574,0.5350137426455699,0.025261029211223,9,0.78125,0.8172043010752689,0.8315217391304348,0.7609756097560976,0.7977379124904502,0.02803393206277273,11
86,0.02050459384918213,0.004976170077212605,0.06376439332962036,0.0026815963118161554,rbf,0.01,10.0,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 10.0}",0.8230165069222577,0.8093169522692748,0.8129792332268371,0.809756682568025,0.8137673437465985,0.005524027630092027,15,0.7775768535262206,0.7757685352622061,0.7848101265822784,0.7631103074141049,0.7753164556962026,0.00781718646735558,2,0.8172362555720654,0.8187134502923976,0.8257686676427526,0.8053491827637446,0.8167668890677401,0.007338348592745099,1,0.5452973790825496,0.5423400393447926,0.5627686437540065,0.513682716861002,0.5410221947605877,0.01760943646869604,2,0.8031088082901554,0.8142076502732241,0.8306010928961749,0.7783505154639175,0.806567016730868,0.01900096212968953,9
87,0.018253982067108154,0.004085915813349809,0.029256582260131836,0.0019206283776379447,sigmoid,0.01,10.0,"{'kernel': 'sigmoid', 'gamma': 0.01, 'C': 10.0}",0.8288205537806177,0.8093702529115476,0.8194222577209797,0.8093436025904113,0.816739166750889,0.00809558753487445,7,0.7739602169981917,0.7775768535262206,0.7757685352622061,0.7667269439421338,0.7735081374321879,0.004118640858564336,8,0.8108925869894099,0.8172362555720654,0.8181818181818182,0.8036529680365296,0.8124909071949558,0.0058216963835300345,13,0.5365709262228604,0.5442793232022932,0.5431501394649483,0.5207926956736971,0.5361982711409498,0.00936886469775884,8,0.7804878048780488,0.7989690721649485,0.8152173913043478,0.7619047619047619,0.7891447575630267,0.019957827918255795,23
88,0.027006030082702637,0.0007071399097248135,0.08351880311965942,0.005124785105824327,rbf,0.1,10.0,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 10.0}",0.7898029818956336,0.787983370199611,0.7778354632587859,0.780987660901314,0.7841523690638361,0.004912348516264726,61,0.7504520795660036,0.7359855334538878,0.7323688969258589,0.7179023508137432,0.7341772151898733,0.011578886505303511,27,0.7883435582822086,0.7746913580246912,0.7635782747603833,0.7523809523809525,0.7697485358620588,0.013322081554446835,30,0.4878505903063728,0.457916606292817,0.4552449414270501,0.42466908712532997,0.4564203062878925,0.022358572562063615,30,0.7383177570093458,0.7123287671232876,0.6916666666666667,0.6751054852320675,0.7043546690078419,0.023630371041899367,30
89,0.013002753257751465,1.1920928955078125e-07,0.024255692958831787,0.0004330846541696529,sigmoid,0.1,10.0,"{'kernel': 'sigmoid', 'gamma': 0.1, 'C': 10.0}",0.6431443024494142,0.6560243050928762,0.6701144834930777,0.6439650347786692,0.6533120314535094,0.010959332584343225,75,0.6329113924050633,0.6292947558770343,0.6455696202531646,0.6003616636528029,0.6270343580470162,0.016542653222000006,36,0.6741573033707866,0.6677471636952997,0.69375,0.6359143327841845,0.6678921999625678,0.02079953345804088,138,0.2539051991521776,0.24902788693269906,0.2739955432404471,0.19477357163352607,0.24292555023971243,0.029333209473700193,36,0.5761316872427984,0.568,0.5973451327433629,0.5346153846153846,0.5690230511503864,0.022569931119155794,36
90,0.028006255626678467,1.97686242482388e-07,0.10502374172210693,0.001871330299212789,rbf,1.0,10.0,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 10.0}",0.742678381256656,0.7520587373077846,0.7308972310969116,0.7170002398528903,0.7356586473785607,0.013124851140175425,71,0.566003616636528,0.5623869801084991,0.5641952983725136,0.5641952983725136,0.5641952983725136,0.0012786741070281047,138,0.7228637413394919,0.7199074074074073,0.7207415990730012,0.7213872832369941,0.7212250077642237,0.0010818428401119984,135,0.0,-0.06443375019698153,-0.015000188249805705,-0.05256217463724576,-0.03299902827100824,0.02638063943145494,138,0.0,0.0,0.3333333333333333,0.0,0.08333333333333333,0.14433756729740646,40
